    PID TTY          TIME CMD
   1272 ?        00:00:00 avahi-daemon
   1224 ?        00:00:00 avahi-daemon
    512 ?        00:00:00 btrfs-cleaner
    513 ?        00:00:01 btrfs-transaction
    495 ?        00:00:00 card1-crtc0
    496 ?        00:00:00 card1-crtc1
    497 ?        00:00:00 card1-crtc2
     23 ?        00:00:00 cpuhp/0
     24 ?        00:00:00 cpuhp/1
     30 ?        00:00:00 cpuhp/2
     36 ?        00:00:00 cpuhp/3
     42 ?        00:00:00 cpuhp/4
     48 ?        00:00:00 cpuhp/5
     54 ?        00:00:00 cpuhp/6
     60 ?        00:00:00 cpuhp/7
   3010 ?        00:00:00 dbus-broker
   3081 ?        00:00:00 dbus-broker
   1220 ?        00:00:00 dbus-broker
   3655 ?        00:00:00 fusermount3
   2759 ?        00:00:00 gdm-session-wor
   3474 ?        00:00:00 jetbrains-toolb
     22 ?        00:00:00 idle_inject/0
     25 ?        00:00:00 idle_inject/1
     31 ?        00:00:00 idle_inject/2
     37 ?        00:00:00 idle_inject/3
     43 ?        00:00:00 idle_inject/4
     49 ?        00:00:00 idle_inject/5
     55 ?        00:00:00 idle_inject/6
     61 ?        00:00:00 idle_inject/7
    107 ?        00:00:00 irq/121-aerdrv
    109 ?        00:00:00 irq/121-pcie-dpc
    108 ?        00:00:00 irq/121-pciehp
    110 ?        00:00:00 irq/122-aerdrv
    111 ?        00:00:00 irq/122-pcie-dpc
    112 ?        00:00:00 irq/123-aerdrv
    113 ?        00:00:00 irq/123-pcie-dpc
    874 ?        00:00:00 irq/143-mei_me
    946 ?        00:00:00 irq/145-iwlwifi:default_queue
    947 ?        00:00:00 irq/146-iwlwifi:queue_1
    948 ?        00:00:00 irq/147-iwlwifi:queue_2
    949 ?        00:00:00 irq/148-iwlwifi:queue_3
    950 ?        00:00:00 irq/149-iwlwifi:queue_4
    951 ?        00:00:00 irq/150-iwlwifi:queue_5
    952 ?        00:00:00 irq/151-iwlwifi:queue_6
    954 ?        00:00:00 irq/152-iwlwifi:queue_7
    955 ?        00:00:00 irq/153-iwlwifi:queue_8
    956 ?        00:00:00 irq/154-iwlwifi:exception
   1218 ?        00:00:00 irq/155-AudioDSP
   1772 ?        00:00:00 irq/156-nvidia
    452 ?        00:00:00 irq/82-DELL09E1:00
     81 ?        00:00:01 irq/9-acpi
    964 ?        00:00:00 jbd2/nvme0n1p2-8
   3350 ?        00:00:17 jetbrains-toolb
     68 ?        00:00:00 kauditd
     72 ?        00:00:00 kcompactd0
     66 ?        00:00:00 kdevtmpfs
     74 ?        00:00:00 khugepaged
   2521 ?        00:00:00 krfcommd
     73 ?        00:00:00 ksmd
     17 ?        00:00:00 ksoftirqd/0
     27 ?        00:00:00 ksoftirqd/1
     33 ?        00:00:00 ksoftirqd/2
     39 ?        00:00:00 ksoftirqd/3
     45 ?        00:00:00 ksoftirqd/4
     51 ?        00:00:00 ksoftirqd/5
     57 ?        00:00:00 ksoftirqd/6
     63 ?        00:00:00 ksoftirqd/7
     93 ?        00:00:00 kswapd0
      2 ?        00:00:00 kthreadd
   5633 ?        00:00:00 kworker/0:0-events
      9 ?        00:00:00 kworker/0:0H-events_highpri
   6147 ?        00:00:00 kworker/0:1-events
    315 ?        00:00:00 kworker/0:1H-events_highpri
     88 ?        00:00:00 kworker/0:2-events
    248 ?        00:00:00 kworker/0:3-events
     28 ?        00:00:00 kworker/1:0-events
     29 ?        00:00:00 kworker/1:0H-events_highpri
    302 ?        00:00:00 kworker/1:1H-kblockd
   5759 ?        00:00:00 kworker/1:1-i915-unordered
    849 ?        00:00:00 kworker/1:3-i915-unordered
   5754 ?        00:00:00 kworker/2:0-cgroup_destroy
     35 ?        00:00:00 kworker/2:0H-events_highpri
    115 ?        00:00:00 kworker/2:1-events
    298 ?        00:00:00 kworker/2:1H-kblockd
    614 ?        00:00:00 kworker/2:3-mm_percpu_wq
     41 ?        00:00:00 kworker/3:0H-events_highpri
     40 ?        00:00:00 kworker/3:0-mm_percpu_wq
     91 ?        00:00:00 kworker/3:1H-kblockd
     80 ?        00:00:00 kworker/3:1-i915-unordered
   5699 ?        00:00:00 kworker/3:2-events
   6069 ?        00:00:00 kworker/3:3-events
     46 ?        00:00:00 kworker/4:0-events
     47 ?        00:00:00 kworker/4:0H-events_highpri
   5781 ?        00:00:00 kworker/4:1-events
    121 ?        00:00:00 kworker/4:1H-events_highpri
    402 ?        00:00:00 kworker/4:2-events_power_efficient
     53 ?        00:00:00 kworker/5:0H-events_highpri
     52 ?        00:00:00 kworker/5:0-i915-unordered
   5758 ?        00:00:00 kworker/5:1-events
    296 ?        00:00:00 kworker/5:1H
    617 ?        00:00:00 kworker/5:2-events
     59 ?        00:00:00 kworker/6:0H-kblockd
   6461 ?        00:00:00 kworker/6:0-i915-unordered
    251 ?        00:00:00 kworker/6:1H
     95 ?        00:00:01 kworker/6:1-i915-unordered
    313 ?        00:00:00 kworker/6:2-events
     65 ?        00:00:00 kworker/7:0H-events_highpri
   5733 ?        00:00:00 kworker/7:1
    300 ?        00:00:00 kworker/7:1H-events_highpri
    598 ?        00:00:00 kworker/7:3-i915-unordered
    116 ?        00:00:00 kworker/R-acpi_thermal_pm
     83 ?        00:00:00 kworker/R-ata_sff
     78 ?        00:00:00 kworker/R-blkcg_punt_bio
    501 ?        00:00:00 kworker/R-btrfs-cache
    507 ?        00:00:00 kworker/R-btrfs-compressed-write
    499 ?        00:00:00 kworker/R-btrfs-delalloc
    509 ?        00:00:00 kworker/R-btrfs-delayed-meta
    503 ?        00:00:00 kworker/R-btrfs-endio
    504 ?        00:00:00 kworker/R-btrfs-endio-meta
    506 ?        00:00:00 kworker/R-btrfs-endio-write
    502 ?        00:00:00 kworker/R-btrfs-fixup
    500 ?        00:00:00 kworker/R-btrfs-flush_delalloc
    508 ?        00:00:00 kworker/R-btrfs-freespace-write
    510 ?        00:00:00 kworker/R-btrfs-qgroup-rescan
    505 ?        00:00:00 kworker/R-btrfs-rmw
    498 ?        00:00:00 kworker/R-btrfs-worker
    907 ?        00:00:00 kworker/R-cfg80211
     75 ?        00:00:00 kworker/R-cryptd
